NCEP_ID,IGRA_ID,LAT,LON,ELEV,IGRA_LAT,IGRA_LON
11952,LOM00011952,49.03,20.32,706,49.0333,20.3167
12120,PLM00012120,54.75,17.53,2,54.7536,17.5347
12812,HUM00012812,47.27,16.63,224,47.267,16.633
12843,HUM00012843,47.43,19.18,140,47.4333,19.1833
12942,HUM00012942,46.0,18.23,201,46.0,18.233
12982,HUM00012982,46.25,20.1,83,46.25,20.1
13015,SIM00014015,46.07,14.52,299,46.0656,14.5122
13130,HRM00014240,45.82,16.03,123,45.8219,16.0336
13275,RIM00013275,44.77,20.42,203,44.7667,20.4167
13334,HRM00013334,43.52,16.43,128,43.517,16.433
13388,RIM00013388,43.33,21.9,202,43.3333,21.9
13586,MKM00013586,41.95,21.63,232,41.95,21.633
14015,SIM00014015,46.07,14.52,316,46.0656,14.5122
14240,HRM00014240,45.82,16.03,128,45.8219,16.0336
14445,HRM00013334,43.52,16.43,128,43.517,16.433
15120,ROM00015120,46.78,23.57,410,46.7778,23.5714
15145,ROM00015145,46.53,24.53,308,46.533,24.533
15150,ROM00015150,46.58,26.98,182,46.583,26.983
15200,ROM00015200,46.17,21.32,108,46.167,21.317
15247,ROM00015247,45.77,21.25,89,45.767,21.25
15302,ROM00015302,45.5,25.58,1093,45.5,25.583
15350,ROM00015350,45.15,26.82,96,45.15,26.817
15360,ROM00015360,45.15,29.67,3,45.15,29.667
15410,ROM00015410,44.63,22.63,77,44.633,22.633
15480,ROM00015480,44.22,28.63,31,44.217,28.633
16036,ITM00016037,46.03,12.6,128,46.0303,12.5992
16044,ITM00016044,46.03,13.18,93,46.0333,13.1833
16144,ITM00016144,44.65,11.62,38,44.6539,11.6225
16242,ITM00016242,41.8,12.23,2,41.8,12.233
16429,ITM00016429,37.92,12.5,7,37.9142,12.4914
16546,ITM00016546,39.35,8.97,29,39.3461,8.9675
16560,ITM00016560,39.25,9.05,4,39.2436,9.06
16597,MTM00016597,35.85,14.48,91,35.85,14.483
16622,GRM00016622,40.52,22.97,8,40.5272,22.9714
17082,TUM00017082,40.85,35.58,544,40.85,35.583
17130,TUM00017130,39.95,32.88,891,39.95,32.8833
17195,TUM00017195,38.82,35.43,1054,38.817,35.433
17220,TUM00017220,38.43,27.17,25,38.4333,27.1667
17240,TUM00017240,37.75,30.55,997,37.75,30.55
17351,TUM00017351,36.98,35.35,27,36.9833,35.35
17601,CYM00017601,34.58,32.98,23,34.583,32.983
17607,CYM00017607,35.15,33.4,161,35.1408,33.3964
20046,RSM00020046,80.62,58.05,20,80.6264,58.0589
20069,RSM00020069,79.5,76.98,10,79.5,76.98
20107,SVM00020107,78.07,14.22,15,78.07,14.22
20274,RSM00020274,77.5,82.23,9,77.5,82.23
20353,RSM00020353,76.95,68.58,8,76.95,68.58
20667,RSM00020667,73.33,70.03,6,73.33,70.03
20891,RSM00020891,71.98,102.47,24,71.9772,102.4664
21358,RSM00021358,76.15,152.83,14,76.15,152.83
21504,RSM00021504,74.67,112.93,5,74.67,112.93
21824,RSM00021824,71.58,128.92,8,71.5833,128.9167
21946,RSM00021946,70.62,147.88,48,70.6167,147.8833
21965,RSM00021965,70.63,162.4,6,70.63,162.4
22802,RSM00022802,61.72,30.72,17,61.717,30.717
22820,RSM00022820,61.82,34.27,40,61.8167,34.2667
22845,RSM00022845,61.5,38.93,124,61.5067,38.9347
23146,RSM00023146,68.47,73.6,15,68.47,73.6
23418,RSM00023415,65.12,57.1,56,65.1167,57.1
23552,RSM00023552,64.92,77.82,27,64.917,77.817
23955,RSM00023955,60.43,77.87,60,60.4333,77.8667
24125,RSM00024125,68.5,112.43,127,68.5,112.4333
24343,RSM00024343,66.77,123.4,58,66.7667,123.4
