p,t,tw,ti,z
977.0,-1.1,-1.330495457857009,-1.2766192562262892,313.0
942.0,-2.9,-4.227837846811072,-4.132532057353133,601.0
902.0,-2.9,-3.235279694955136,-3.095140728859113,943.0
882.0,-0.5,-0.7506527368069483,-0.7246877732747492,1120.0
856.0,-1.5,-1.7859188365837722,-1.7058436356219857,1356.0
850.0,-0.7,-0.954178147151121,-0.9159175233161199,1411.0
846.0,0.0,-0.2613774396656102,-0.2631271531434227,1449.0
789.0,1.0,0.7652434377722878,0.7010687428044129,2009.0
716.0,-0.3,-0.4426757352068283,-0.4228147239592555,2789.0
700.0,-0.7,-0.8894861247789512,-0.8439983382002069,2971.0
