p,t,tw,ti,z
998.04,-1.7,-1.8025588757178503,-1.7173274051069218,62.0
997.22,-1.8,-2.948752481280832,-2.894829909047083,69.0
987.76,-2.6,-3.066473707577756,-2.953000892085756,144.0
971.7,-4.3,-4.534078549640021,-4.344341296351675,274.0
957.65,-4.7,-4.904193032760686,-4.69719330187213,389.0
940.23,-0.5,-0.7367324343410346,-0.7124868122699187,534.0
938.47,0.0,-0.2424602048248464,-0.24565900388844533,549.0
931.83,2.7,2.458972700617539,2.2865980550632066,606.0
925.0,3.0,2.721739950113407,2.528111036772998,666.0
912.5,2.4,2.120032404187353,1.9671622724705269,776.0
871.33,0.0,-0.24703974274367985,-0.24913971992690337,1148.0
850.0,-1.2,-1.3910245857658006,-1.32457876591964,1346.0
800.67,-4.1,-4.230850583937727,-4.019334030832172,1821.0
700.0,-10.9,-11.261402654200095,-10.845048175695405,2867.0
656.42,-14.2,-14.650914263411972,-14.193643506657182,3358.0
