p,t,tw,ti,z
1000.0,-1.9,-2.3791021282232148,-2.296752818106223,86.0
966.68,-3.2,-3.6001205325509607,-3.457738208602872,355.0
948.53,-3.9,-4.286191392384013,-4.11439239939816,505.0
943.88,-3.0,-3.4808562796485494,-3.346778759187698,544.0
942.42,-1.1,-1.1,-1.039548375670688,556.0
941.3,0.0,0.0,0.0,566.0
933.67,1.6,0.5567547082464485,0.4524122977715554,631.0
930.67,1.3,0.20541093012613099,0.11773893947903034,657.0
925.0,0.6,-0.27481575978776535,-0.3202511757096724,706.0
915.56,0.0,-0.7550670759115776,-0.765715483216883,789.0
895.49,-1.0,-1.7942622950290485,-1.7534250376851601,966.0
850.0,-2.7,-3.2700732413864393,-3.1395391638800954,1380.0
847.22,-3.0,-3.5306557247476067,-3.385545999437867,1406.0
815.24,-5.0,-5.188342708148099,-4.946027430811177,1710.0
806.46,-5.0,-5.199635250001748,-4.956094733779484,1795.0
772.21,-4.0,-4.253076860346954,-4.0449386908986185,2138.0
742.88,-3.2,-3.274146775286766,-3.0933789340274944,2443.0
713.08,-2.8,-2.9965244066246908,-2.8339896349899916,2768.0
711.28,-3.2,-3.4226804827604225,-3.2404018933460135,2788.0
700.0,-4.3,-4.502389204742196,-4.266493795216442,2914.0
682.35,-4.8,-5.011867296576376,-4.750850514389111,3115.0
653.08,-6.4,-6.723970311022777,-6.396736398735526,3459.0
650.57,-7.0,-7.330890427201434,-6.982807256521994,3489.0
619.79,-9.7,-10.01577350191563,-9.581772386736889,3866.0
