NCEP_ID IGRA_ID LAT LON ELEV
17195 TUM00017195  38.8200  35.4300  1054
17220 TUM00017220  38.4300  27.1700    25
17240 TUM00017240  37.7500  30.5500   997
17351 TUM00017351  36.9800  35.3500    27
17601 CYM00017601  34.5800  32.9800    23
17607 CYM00017607  35.1500  33.4000   161
20046 RSM00020046  80.6200  58.0500    20
20069 RSM00020069  79.5000  76.9800    10
20107 SVM00020107  78.0700  14.2200    15
20274 RSM00020274  77.5000  82.2300     9
20353 RSM00020353  76.9500  68.5800     8
20667 RSM00020667  73.3300  70.0300     6
20891 RSM00020891  71.9800 102.4700    24
21358 RSM00021358  76.1500 152.8300    14
21504 RSM00021504  74.6700 112.9300     5
21824 RSM00021824  71.5800 128.9200     8
21946 RSM00021946  70.6200 147.8800    48
21965 RSM00021965  70.6300 162.4000     6
22802 RSM00022802  61.7200  30.7200    17
22820 RSM00022820  61.8200  34.2700    40
22845 RSM00022845  61.5000  38.9300   124
23146 RSM00023146  68.4700  73.6000    15
23418 RSM00023415  65.1200  57.1000    56
23552 RSM00023552  64.9200  77.8200    27
23955 RSM00023955  60.4300  77.8700    60
24125 RSM00024125  68.5000 112.4300   127
24343 RSM00024343  66.7700 123.4000    58
25042 RSM00025042  69.9300 167.9700    16
25173 RSM00025173  68.9200 -179.4800     4
25399 RSM00025399  66.1700 -169.8300     7
25400 RSM00025400  65.7300 150.9000    43
25551 RSM00025551  64.6800 170.4200    33
25563 RSM00025563  64.7800 177.5700    62
25703 RSM00025703  62.9200 152.4200   206
25954 RSM00025954  60.3500 166.0000     2
26781 RSM00026781  54.7500  32.0700   233
27459 RSM00027459  56.2700  44.0000   157
27730 RSM00027730  54.6300  39.7000   158
27944 RSM00027944  52.7300  41.4700   161
27947 RSM00027944  52.7300  41.4700   139
27962 RSM00027962  53.1300  45.0200   174
27995 RSM00027995  52.9800  49.4300    45
28445 RSM00028445  56.7300  61.0700   290
28698 RSM00028698  54.9300  73.4000    94
28807 RSM00028900  53.2500  50.4500    40
28900 RSM00028900  53.2500  50.4500    44
29574 RSM00029574  56.0000  92.8800   194
29698 RSM00029698  54.8800  99.0300   410
29862 RSM00029862  53.7700  91.3200   256
30054 RSM00030054  59.4500 112.5800   193
30554 RSM00030554  54.4700 113.5800   917
30692 RSM00030692  54.0000 123.9700   400
30715 RSM00030715  52.4800 103.8500   450
30719 RSM00030710  52.2700 104.3200   468
30935 RSM00030935  50.3700 108.7500   770
31004 RSM00031004  58.6200 125.3700   682
31088 RSM00031088  59.3700 143.2000     6
31168 RSM00031168  56.4500 138.1500     7
31369 RSM00031369  53.1500 140.7000    47
31538 RSM00031538  50.0700 132.1300   314
31707 RSM00031707  47.7300 130.9700    72
31736 RSM00031736  48.5300 135.2300    72
31873 RSM00031873  45.8700 133.7300   105
31977 RSM00031977  43.2700 132.0500    82
32061 RSM00032061  50.9000 142.1700    30
32098 RSM00032098  49.2200 143.1000     4
32186 RSM00032186  46.2000 150.5000    70
32389 RSM00032389  56.3200 160.8300    26
32618 RSM00032618  55.2000 165.9800     5
33393 UPM00033393  49.8200  23.9500   334
33631 UPM00033631  48.6300  22.2700   118
33815 MDM00033815  47.0200  28.8700    95
33966 UKM00033966  45.0500  34.6000   183
34247 RSM00034247  50.4200  41.0500    93
34731 RSM00034731  47.2500  39.8200    79
34858 RSM00034858  45.9200  43.3500    77
35108 KZM00035108  51.2500  51.4000    36
35229 KZM00035229  50.2800  57.1500   227
35361 KZM00035361  50.1300  65.2300   142
35671 KZM00035671  47.8000  67.7200   350
36259 RSM00036259  50.0000  88.6700  1758
36859 KZM00036859  44.1700  80.0700   640
36974 KGM00036974  41.4300  76.0000  2041
37054 RSM00037055  44.2200  43.1000   308
37260 GGM00037260  43.0200  41.0300   118
37395 GGM00037395  42.2700  42.6300   116
37735 AJM00037735  40.7200  46.4200   303
37860 AJM00037860  40.5300  50.0000    29
37985 AJM00037985  38.7300  48.8300   -11
38001 KZM00038001  44.5500  50.2500   -20
38353 KGM00038353  42.8300  74.5800   823
38413 UZM00038413  41.7300  64.6200   220
38457 UZM00038457  41.2700  69.2700   477
38507 TXM00038507  40.0300  52.9800    89
38606 UZM00038606  40.5500  70.9500   405
38613 KGM00038613  40.9200  72.9500   771
38687 TXM00038687  39.0800  63.6000   193
38750 TXM00038750  37.4700  53.9700   -25
38927 UZM00038927  37.2300  67.2700   302
38954 TIM00038954  37.5000  71.5000  2080
40080 SYM00040080  33.4200  36.5200   615
40100 LEM00040100  33.8200  35.4800    26
40179 ISM00040179  32.0000  34.8200    30
40191 ISM00040191  31.2300  34.7800   275
40199 ISM00040199  29.5500  34.9500    12
40230 JOM00040255  32.5500  35.8500   618
40270 JOM00040270  31.9800  35.9800   767
40310 JOM00040310  30.1700  35.7800  1070
40394 SAM00040394  27.4300  41.6800  1013
40395 SAM00040394  27.4300  41.6800  1002
40416 SAM00040416  26.2700  50.1700    22
40417 SAM00040417  26.4500  49.8200    12
40438 SAM00040438  24.7000  46.7300   624
40569 SAM00041114  18.3000  42.8000  2065
40575 MUM00041316  17.0500  54.1000    17
40597 YMM00041480  12.8300  45.0300     3
40642 IZM00040642  33.0300  40.2800   615
40706 IRM00040706  38.0800  46.2800  1361
